,Year,Area,Date,Road,Municipality Name,County Name,Province Name,Fatalties,Serious Injuries,Light Injuries,Units Involved,Pedestrains Involved,Bicycles Involved,Mopeds Involved,Motorcycles,Light Vehicles Involved,Heavy Vehicles Involved,Other Units Involved,Unspecified Units Involved,Road Speed Limit,Accident with Hit and Run,Fog Presence,Surrounding Environment,Special Lane Presence,Special Traffic Measures,Weather Conditions,Special Road Functions,Severity of Accident,Influence of Fog,Influence of Environment,Influence of Traffic,Influence of Weather,Influence of Wind Intensity,Influence of Lighting,Influence of Special Measures,Influence of Road Objects,Influence of Road Surface,Influence of Visibility,Intersection Characteristics,Lighting Conditions,Traffic Regulation and Priority,Direction of Road,Subtype of Accident,Subtype of Road Section,Subzone within Area,Road Surface Conditions,Type of Road,Road Ownership,Wind Conditions,Day of the Week Grouping,Hour of Day,Time of Day Grouping,Type of Accident,Day,Month
38,2010,1,2010-10-24,SE,GIRONA,Girones,1,0,1,0,3,0,0,0,1,2,0,0,0,100.0,0.0,0,2,Habilitació voral/carril addicional,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,4,4,0,Envestida (frontal lateral),2,2,2,5,-1,2,0,18.2,1,2,24,10
39,2010,0,2010-08-04,BP-2121,SANT MARTI SARROCA,Alt Penedes,3,0,2,0,1,0,0,0,1,0,0,0,0,70.0,0.0,0,1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,1,0,0,0,0,0,4,-1,1,Resta sortides de via,-1,1,2,4,3,2,1,7.1,0,1,4,8
40,2010,1,2010-07-14,SE,ALELLA,Maresme,3,0,1,0,2,0,0,0,1,1,0,0,0,20.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,-1,0,0,0,-1,0,0,0,0,-1,0,4,-1,1,Xoc contra objecte/obstacle sense sortida prèvia de via,-1,2,2,5,-1,2,1,17.55,1,4,14,7
41,2010,1,2010-09-24,SE,CORNELLA DE LLOBREGAT,Baix Llobregat,3,0,1,0,2,0,0,0,1,1,0,0,0,30.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,4,2,1,Envestida (frontal lateral),1,2,2,5,-1,2,0,15.15,1,2,24,9
42,2010,0,2010-10-23,C-31,CALAFELL,Baix Penedes,0,0,1,1,2,0,0,0,0,1,1,0,0,100.0,0.0,0,1,Carril lent,-1.0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,4,4,1,Fregament o col·lisió lateral,1,1,2,4,2,2,0,10.45,0,2,23,10
43,2010,1,2010-12-10,SE,BARCELONA,Barcelones,3,0,1,0,2,0,0,0,1,0,1,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Fregament o col·lisió lateral,-1,2,2,5,-1,2,0,15.35,1,2,10,12
44,2010,0,2010-07-20,N-II,SANT POL DE MAR,Maresme,3,1,0,1,2,0,0,0,1,1,0,0,0,90.0,0.0,0,3,No n'hi ha,-1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Col·lisió frontal,-1,1,2,4,1,2,1,11.42,0,2,20,7
45,2010,0,2010-07-10,SE,TORROELLA DE FLUVIA,Alt Emporda,1,1,0,0,1,0,0,0,1,0,0,0,0,100.0,0.0,0,1,No n'hi ha,-1.0,3,3,0,0,0,0,0,0,1,0,0,0,0,2,3,4,1,Xoc contra objecte/obstacle sense sortida prèvia de via,1,1,2,3,4,2,0,4.0,2,4,10,7
46,2010,1,2010-06-08,SE,VIDRERES,Selva,1,0,1,0,2,1,0,0,0,1,0,0,0,100.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,4,4,0,Atropellament,1,2,1,5,-1,2,1,10.55,0,3,8,6
47,2010,0,2010-04-25,TV-3405,AMPOSTA,Montsia,0,0,1,0,1,0,0,0,1,0,0,0,0,100.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Resta sortides de via,-1,1,2,4,3,2,0,13.55,0,1,25,4
48,2010,1,2010-11-12,SE,SANT BOI DE LLOBREGAT,Baix Llobregat,3,0,1,0,2,1,0,0,0,1,0,0,0,100.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,5,-1,1,Atropellament,-1,2,2,5,-1,2,0,19.38,1,3,12,11
49,2010,1,2010-11-05,SE,ALCANAR,Montsia,0,1,0,0,2,1,0,0,0,0,1,0,0,100.0,0.0,0,2,No n'hi ha,-1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,Atropellament,2,2,2,5,0,2,1,1.2,2,3,5,11
50,2010,1,2010-03-26,SE,BARCELONA,Barcelones,3,0,1,0,2,0,0,0,1,1,0,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,4,-1,0,Encalç,-1,2,2,5,-1,2,0,18.1,1,2,26,3
51,2010,0,2010-01-14,GI-634,VERGES,Baix Emporda,1,0,1,9,2,0,0,0,0,0,2,0,0,100.0,0.0,0,3,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,Fregament o col·lisió lateral,-1,1,2,4,3,2,1,7.27,0,2,14,1
52,2010,1,2010-01-15,SE,GAVA,Baix Llobregat,3,0,1,0,1,0,1,0,0,0,0,0,0,20.0,0.0,0,1,No n'hi ha,-1.0,3,3,1,-1,1,0,0,-1,0,0,1,1,0,0,4,-1,0,Caiguda en la via,-1,2,1,5,-1,2,1,13.15,0,0,15,1
53,2010,0,2010-01-31,BV-2415,OLERDOLA,Alt Penedes,3,1,0,1,2,0,1,0,1,0,0,0,0,50.0,0.0,0,3,No n'hi ha,-1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,4,4,1,Encalç,2,1,2,4,3,2,0,10.05,0,2,31,1
54,2010,1,2010-11-08,SE,BARCELONA,Barcelones,3,0,1,0,2,1,0,0,0,1,0,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,5,3,0,Atropellament,2,2,2,5,-1,2,1,19.15,1,3,8,11
55,2010,0,2010-05-29,C-31,SITGES,Garraf,3,0,1,0,1,0,0,0,1,0,0,0,0,60.0,0.0,0,0,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,Xoc contra objecte/obstacle sense sortida prèvia de via,-1,1,2,4,2,2,0,8.04,0,4,29,5
56,2010,1,2010-08-13,SE,FIGUERES,Alt Emporda,1,0,1,0,2,0,0,0,1,1,0,0,0,100.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,1,1,4,5,1,Envestida (frontal lateral),2,2,2,5,-1,2,1,9.0,0,2,13,8
57,2010,0,2010-05-08,C-66,FLACA,Girones,1,0,2,0,4,0,0,0,0,4,0,0,0,100.0,0.0,0,1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Fregament o col·lisió lateral,-1,1,2,4,-1,2,0,13.53,0,2,8,5
58,2010,1,2010-06-05,SE,PALAFRUGELL,Baix Emporda,1,0,1,0,2,1,0,0,1,0,0,0,0,20.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,-1,-1,0,0,-1,0,0,0,0,0,0,4,-1,-1,Atropellament,-1,2,2,5,-1,2,0,10.58,0,3,5,6
59,2010,0,2010-07-27,C-59,CALDES DE MONTBUI,Valles Oriental,3,0,1,0,2,0,1,0,0,0,1,0,0,100.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,4,5,1,Fregament o col·lisió lateral,0,1,2,4,2,2,1,16.5,1,2,27,7
60,2010,0,2010-03-16,SE,CABRERA DE MAR,Maresme,3,0,1,0,1,0,0,0,1,0,0,0,0,100.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Caiguda en la via,-1,1,2,3,0,2,1,14.31,1,0,16,3
61,2010,0,2010-06-27,C-17,MONTESQUIU,Osona,3,0,2,0,2,0,0,0,1,1,0,0,0,60.0,0.0,0,1,No n'hi ha,0.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Fregament o col·lisió lateral,-1,1,2,4,2,2,0,12.49,0,2,27,6
62,2010,0,2010-11-03,SE,SANTA PERPETUA DE MO,Valles Occidental,3,0,1,0,2,1,0,0,0,1,0,0,0,100.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,4,2,0,Atropellament,0,1,2,3,0,2,1,10.4,0,3,3,11
63,2010,0,2010-04-27,C-55,CASTELLBELL I EL VIL,Bages,3,1,1,0,4,0,0,0,0,3,1,0,0,60.0,0.0,0,1,No n'hi ha,-1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Col·lisió frontal,-1,1,2,4,2,2,1,15.44,1,2,27,4
64,2010,1,2010-05-29,SE,MATARO,Maresme,3,0,1,1,2,0,0,0,0,2,0,0,0,30.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,-1,0,0,0,-1,0,0,0,0,-1,0,4,-1,1,Xoc contra objecte/obstacle sense sortida prèvia de via,-1,2,2,5,-1,2,0,11.4,0,4,29,5
65,2010,1,2010-06-02,SE,LLORET DE MAR,Selva,1,1,0,0,2,1,0,0,0,0,1,0,0,100.0,0.0,0,2,No n'hi ha,-1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,Atropellament,-1,2,3,5,-1,2,1,12.3,0,3,2,6
66,2010,1,2010-01-25,SE,SABADELL,Valles Occidental,3,0,1,0,2,1,0,0,0,1,0,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,-1,Atropellament,-1,2,2,5,-1,2,1,17.32,1,3,25,1
67,2010,0,2010-04-15,SE,LLEIDA,Segria,2,0,1,0,1,0,0,1,0,0,0,0,0,60.0,0.0,0,0,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Resta sortides de via,-1,1,2,3,0,2,1,18.3,1,1,15,4
68,2010,0,2010-09-21,C-243a,VILAFRANCA DEL PENEDES,Alt Penedes,3,0,1,1,2,0,0,0,0,2,0,0,0,100.0,0.0,0,3,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Fregament o col·lisió lateral,-1,1,2,4,2,2,1,10.57,0,2,21,9
69,2010,0,2010-05-25,A-2,CORNELLA DE LLOBREGAT,Baix Llobregat,3,0,1,0,2,0,0,0,1,1,0,0,0,80.0,0.0,0,2,Carril d'alentiment,0.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Encalç,-1,1,2,4,1,2,1,18.25,1,2,25,5
70,2010,0,2010-03-02,SE,CERDANYOLA DEL VALLES,Valles Occidental,3,0,1,0,3,0,2,0,0,1,0,0,0,20.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Encalç,-1,1,0,3,0,2,1,10.35,0,2,2,3
71,2010,1,2010-01-25,SE,MONTCADA I REIXAC,Valles Occidental,3,0,1,0,2,0,0,1,0,1,0,0,0,20.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,-1,0,0,0,-1,0,0,0,0,0,1,4,4,0,Envestida (frontal lateral),2,2,2,5,-1,2,1,12.2,0,2,25,1
72,2010,0,2010-06-11,B-10,SANT ADRIA DE BESOS,Barcelones,3,0,1,0,2,0,0,0,1,1,0,0,0,80.0,0.0,0,1,No n'hi ha,-1.0,3,0,1,-1,0,0,0,-1,0,0,0,0,-1,0,4,-1,0,Encalç,-1,1,2,4,3,2,1,7.4,0,2,11,6
73,2010,1,2010-04-13,SE,TARRAGONA,Tarragones,0,0,1,0,1,1,0,0,0,0,0,0,0,100.0,1.0,0,2,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Atropellament,-1,2,2,5,-1,2,1,12.5,0,3,13,4
74,2010,1,2010-11-12,SE,CORNELLA DE LLOBREGAT,Baix Llobregat,3,0,1,0,2,0,0,1,0,1,0,0,0,20.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,-1,-1,0,0,-1,0,0,0,0,1,1,5,4,-1,Envestida (frontal lateral),2,2,2,5,-1,2,1,6.0,0,2,12,11
75,2010,0,2010-05-16,SE,SABADELL,Valles Occidental,3,0,1,2,2,0,0,0,0,2,0,0,0,100.0,0.0,0,-1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,-1,Col·lisió frontal,-1,1,2,3,-1,2,0,13.25,0,2,16,5
76,2010,0,2010-01-09,N-260,"PONT DE BAR, EL",Alt Urgell,2,0,1,0,3,0,0,0,0,2,1,0,0,50.0,0.0,0,3,No n'hi ha,-1.0,3,3,1,-1,0,0,0,-1,0,0,0,0,0,0,4,-1,1,Col·lisió frontal,-1,1,0,4,1,2,0,9.37,0,2,9,1
77,2010,0,2010-11-09,C-25,GURB,Osona,3,1,1,1,3,0,0,0,0,0,3,0,0,100.0,0.0,0,2,No n'hi ha,-1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Col·lisió frontal,-1,1,2,4,2,1,1,11.57,0,2,9,11
78,2010,1,2010-03-15,SE,BARCELONA,Barcelones,3,1,0,0,1,0,0,0,1,0,0,0,0,60.0,0.0,0,-1,No n'hi ha,-1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,Xoc contra objecte/obstacle sense sortida prèvia de via,3,2,2,5,-1,2,1,23.5,2,4,15,3
79,2010,1,2010-10-29,SE,MANLLEU,Osona,3,0,1,2,2,1,0,1,0,0,0,0,0,20.0,0.0,0,2,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,2,4,5,0,Atropellament,2,2,2,5,-1,2,1,14.58,1,3,29,10
80,2010,0,2010-02-14,C-58,BARCELONA,Barcelones,3,1,0,4,2,0,0,0,0,2,0,0,0,80.0,0.0,0,1,No n'hi ha,-1.0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,5,-1,1,Altres,-1,1,2,4,2,2,0,5.56,2,5,14,2
81,2010,1,2010-08-14,SE,VILA-SECA,Tarragones,0,0,1,1,2,2,0,0,0,0,0,0,0,100.0,1.0,0,2,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Atropellament,-1,2,2,5,-1,2,0,17.25,1,3,14,8
82,2010,1,2010-07-11,SE,HOSTALETS DE PIEROLA,Anoia,3,0,2,0,2,0,0,1,0,1,0,0,0,100.0,0.0,0,1,No n'hi ha,-1.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,1,Fregament o col·lisió lateral,-1,2,2,5,-1,2,0,18.15,1,2,11,7
